"","age","workclass","fnlwgt","education","education_num","marital_stat","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_wk","native_country","label"
"1",39," State-gov",77516," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",2174,0,40," United-States",0
"2",50," Self-emp-not-inc",83311," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,13," United-States",0
"3",38," Private",215646," HS-grad",9," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States",0
"4",53," Private",234721," 11th",7," Married-civ-spouse"," Handlers-cleaners"," Husband"," Black"," Male",0,0,40," United-States",0
"5",28," Private",338409," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," Black"," Female",0,0,40," Cuba",0
"6",37," Private",284582," Masters",14," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States",0
"7",49," Private",160187," 9th",5," Married-spouse-absent"," Other-service"," Not-in-family"," Black"," Female",0,0,16," Jamaica",0
"8",52," Self-emp-not-inc",209642," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States",1
"9",31," Private",45781," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",14084,0,50," United-States",1
"10",42," Private",159449," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",5178,0,40," United-States",1
"11",37," Private",280464," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,80," United-States",1
"12",30," State-gov",141297," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," India",1
"13",23," Private",122272," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,30," United-States",0
"14",32," Private",205019," Assoc-acdm",12," Never-married"," Sales"," Not-in-family"," Black"," Male",0,0,50," United-States",0
"15",34," Private",245487," 7th-8th",4," Married-civ-spouse"," Transport-moving"," Husband"," Amer-Indian-Eskimo"," Male",0,0,45," Mexico",0
"16",25," Self-emp-not-inc",176756," HS-grad",9," Never-married"," Farming-fishing"," Own-child"," White"," Male",0,0,35," United-States",0
"17",32," Private",186824," HS-grad",9," Never-married"," Machine-op-inspct"," Unmarried"," White"," Male",0,0,40," United-States",0
"18",38," Private",28887," 11th",7," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States",0
"19",43," Self-emp-not-inc",292175," Masters",14," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,45," United-States",1
"20",40," Private",193524," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,60," United-States",1
"21",54," Private",302146," HS-grad",9," Separated"," Other-service"," Unmarried"," Black"," Female",0,0,20," United-States",0
"22",35," Federal-gov",76845," 9th",5," Married-civ-spouse"," Farming-fishing"," Husband"," Black"," Male",0,0,40," United-States",0
"23",43," Private",117037," 11th",7," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,2042,40," United-States",0
"24",59," Private",109015," HS-grad",9," Divorced"," Tech-support"," Unmarried"," White"," Female",0,0,40," United-States",0
"25",56," Local-gov",216851," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States",1
"26",19," Private",168294," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States",0
